nama_produk,harga,harga_tidak_diskon,ketersediaan_stock
"  Squier FSR Sonic Stratocaster HSS Electric Guitar w/White Pickguard, Maple FB, 2-Color Sunburst  ",3950000,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Black  ",4000000,, In Stock 
"  Ibanez Gio GRG120QASP-BKG 6-String Electric Guitar, Black Gradation  ",4370000,, In Stock 
"  Squier Sonic Telecaster Electric Guitar w/Black Pickguard, Maple FB, Butterscotch Blonde (B-Stock)  ",3160000,3950000, In Stock 
"  Fender American Vintage II 1966 Jazzmaster Electric Guitar, RW FB, Sherwood Green Metallic  ",54600000,, Low in Stock 
"  Fender Standard Telecaster Electric Guitar, Maple FB, Aqua Marine Metallic  ",11900000,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Lemon Burst  ",4000000,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Pelham Blue  ",4000000,, In Stock 
"  Fender Player II Stratocaster HSS Electric Guitar, Maple FB, Black  ",17845000,, In Stock 
"  Fender 70th Anniversary American Vintage II 1954 Stratocaster, Maple FB, 2-Tone Sunburst  ",52890000,, In Stock 
"  Squier FSR Affinity Series Telecaster Electric Guitar, Maple FB, Surf Green  ",5865000,, Low in Stock 
"  Fender Standard Telecaster Electric Guitar w/White Pickguard, Laurel FB, 3-Color Sunburst  ",11900000,, Available for Pre-Order 
"  Ibanez LB1-WH Lari Basilio Signature Electric Guitar w/ Case, White  ",46520000,, Available for Pre-Order 
"  Squier FSR Affinity Series Telecaster Electric Guitar, Maple FB, Lake Placid Blue  ",5865000,, Available on Request 
"  Ibanez GRGR221PA-AQB Electric Guitar, Aqua Blue  ",3910000,, Available for Pre-Order 
"  Fender Custom Shop Stevie Ray Vaughan Signature Stratocaster Relic Guitar, 3-Tone Sunburst  ",85220000,, Available for Pre-Order 
"  Squier Classic Vibe 60s Stratocaster Electric Guitar, Laurel FB, 3-Tone Sunburst  ",8570000,, Available on Request 
"  Heritage Ascent Collection H-150 Electric Guitar, White  ",4000000,, In Stock 
"  Squier Classic Vibe 60s Jazzmaster Electric Guitar, Laurel FB, Tahitian Coral  ",8570000,, In Stock 
"  Fender Chilli Beans. Lily Cyclone Electric Guitar, RW FB, Blue  ",15100000,, In Stock 
"  Sterling by Music Man MAJ200XQM John Petrucci Majesty Electric Guitar, Cerulean Paradise  ",28135000,33100000, In Stock 
"  Squier FSR Classic Vibe 70s Stratocaster Electric Guitar, Laurel FB, Mocha  ",9350000,, In Stock 
"  Squier by Fender Limited Edition Hello Kitty Stratocaster Electric Guitar, Maple FB, White  ",10570000,, In Stock 
"  Heritage Ascent+ Collection H-157 3-Pickup Electric Guitar, Ebony  ",12300000,, In Stock 
"  Heritage Ascent+ Collection H-150 P90 Electric Guitar, Midnight Blue  ",9800000,, In Stock 
"  Fender American Ultra Luxe Vintage 60s Custom Telecaster Electric Guitar, RW FB, 3-Color Sunburst  ",59500000,, In Stock 
"  Squier Debut Series Stratocaster Electric Guitar, Laurel FB, Surf Green  ",2850000,, In Stock 
"  Squier Debut Series Stratocaster Electric Guitar, Laurel FB, California Blue  ",2850000,, In Stock 
"  Squier Debut Series Stratocaster Electric Guitar, Laurel FB, Black (B-Stock)  ",2371500,2635000, In Stock 
"  Fender FSR Player Stratocaster Fat 60s Electric Guitar, Roasted PF FB, Black  ",15860000,19825000, In Stock 
"  Squier FSR Classic Vibe 70s Stratocaster Electric Guitar, Laurel FB, Sonic Blue  ",8600000,, In Stock 
"  Squier FSR Affinity Series Stratocaster Electric Guitar, Laurel FB, Honey Sunburst  ",6155000,, In Stock 
"  Fender FSR Collection Hybrid II Stratocaster Electric Guitar, RW FB, Inca Silver  ",21150000,, In Stock 
"  Fender Standard Stratocaster Electric Guitar w/White Pickguard, Maple FB, Candy Cola  ",11900000,, In Stock 
"  Fender Standard Stratocaster Electric Guitar, Laurel FB, Aqua Marine Metallic  ",11900000,, In Stock 
"  Squier Limited Edition Paranormal Offset Telecaster SJ Electric Guitar, Laurel FB, Ice Blue Metallic  ",9250000,, In Stock 
"  Fender Player II Stratocaster HSS Electric Guitar, RW FB, Transparent Cherry Burst  ",19825000,, In Stock 
"  Fender Player II Stratocaster HSS Electric Guitar, Maple FB, Aged Cherry Burst  ",19825000,, In Stock 
"  Fender American Ultra II Meteora Electric Guitar, Ebony FB, Ultraburst  ",46275000,, In Stock 
"  Squier FSR Affinity Series Stratocaster Electric Guitar, Laurel FB, Olympic White  ",6155000,, In Stock 
"  Heritage Ascent+ Collection H-150 Electric Guitar, Rose Burst  ",9800000,, In Stock 
"  Fender FSR Collection Hybrid II Stratocaster Electric Guitar, RW FB, Azurite Metallic  ",22470000,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Copper  ",4000000,, In Stock 
"  Heritage Ascent Collection H-137 Humbucker Electric Guitar, Vintage Cherry  ",3200000,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Matte Burgundy  ",4000000,, In Stock 
"  Fender Player II Stratocaster HSS Electric Guitar, Maple FB, Aquatone Blue  ",17845000,, In Stock 
"  Gretsch G6134TG Limited Edition Paisley Penguin Electric Guitar w/String-Thru Bigsby, Black Paisley  ",72725000,, In Stock 
"  Fender Tom DeLonge Starcaster Electric Guitar, RW FB, Olympic White  ",25115000,, In Stock 
"  Fender Tom DeLonge Starcaster Electric Guitar, RW FB, Shell Pink  ",25115000,, In Stock 
"  Fender Alternate Reality Sixty-Six Electric Guitar, Maple FB, Natural (B-Stock)  ",16615000,18460000, In Stock 
"  Squier FSR Sonic Stratocaster Electric Guitar w/White Pickguard, Maple FB, Tahitian Coral  ",3950000,, In Stock 
"  Fender Player Plus Telecaster Electric Guitar, Maple FB, Butterscotch Blonde  ",20780000,, In Stock 
"  Squier Sonic Mustang Electric Guitar w/White Pickguard, Maple FB, 2-Color Sunburst  ",3950000,, In Stock 
"  Squier Sonic Stratocaster Electric Guitar w/White Pickguard, Laurel FB, Ultraviolet  ",3950000,, In Stock 
"  Squier Sonic Telecaster Electric Guitar w/Black Pickguard, Laurel FB, Torino Red  ",3950000,, In Stock 
"  Fender Joe Strummer Road Worn Telecaster Electric Guitar, RW FB, Black  ",38585000,, In Stock 
"  Ibanez AR520H-BK Semi-Hollow Electric Guitar, Black  ",14450000,, In Stock 
"  Ibanez GB10SEFM-SRR Electric Guitar w/Case, Sapphire Red  ",24900000,, In Stock 
"  Fender Limited Edition Player Telecaster Electric Guitar, Pau Ferro FB, Olive  ",14548000,18185000, In Stock 
"  Fender Limited Edition Player Telecaster Electric Guitar, Maple FB, Burgundy Mist  ",14548000,18185000, In Stock 
"  Fender American Vintage II 61 Stratocaster Electric Guitar, RW FB, Olympic White  ",41055000,, Low in Stock 
"  Squier FSR Affinity Series Telecaster Electric Guitar, Maple FB, Natural  ",5865000,, In Stock 
"  Squier FSR Classic Vibe 60s Competition Mustang Guitar w/ Dakota Red Stripes, Capri Orange  ",9720000,, In Stock 
"  Charvel Henrik Danhage Ltd Ed Signature Pro-Mod So-Cal Style 1 Electric Guitar, White Relic  ",33525000,, In Stock 
"  Squier FSR Affinity Series HH Telecaster Electric Guitar, Laurel FB, Metallic Orange  ",6350000,, In Stock 
