nama_produk,harga_original,harga_diskon,ketersediaan_stock
"  Squier FSR Sonic Stratocaster HSS Electric Guitar w/White Pickguard, Maple FB, 2-Color Sunburst  ", Rp 3.950.000 ,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Black  ", Rp 4.000.000 ,, In Stock 
"  Ibanez Gio GRG120QASP-BKG 6-String Electric Guitar, Black Gradation  ", Rp 4.370.000 ,, In Stock 
"  Squier Sonic Telecaster Electric Guitar w/Black Pickguard, Maple FB, Butterscotch Blonde (B-Stock)  ", Rp 3.160.000 , Rp 3.950.000 , In Stock 
"  Fender American Vintage II 1966 Jazzmaster Electric Guitar, RW FB, Sherwood Green Metallic  ", Rp 54.600.000 ,, Low in Stock 
"  Fender Standard Telecaster Electric Guitar, Maple FB, Aqua Marine Metallic  ", Rp 11.900.000 ,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Lemon Burst  ", Rp 4.000.000 ,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Pelham Blue  ", Rp 4.000.000 ,, In Stock 
"  Fender Player II Stratocaster HSS Electric Guitar, Maple FB, Black  ", Rp 17.845.000 ,, In Stock 
"  Fender 70th Anniversary American Vintage II 1954 Stratocaster, Maple FB, 2-Tone Sunburst  ", Rp 52.890.000 ,, In Stock 
"  Squier FSR Affinity Series Telecaster Electric Guitar, Maple FB, Surf Green  ", Rp 5.865.000 ,, Low in Stock 
"  Fender Standard Telecaster Electric Guitar w/White Pickguard, Laurel FB, 3-Color Sunburst  ", Rp 11.900.000 ,, Available for Pre-Order 
"  Ibanez LB1-WH Lari Basilio Signature Electric Guitar w/ Case, White  ", Rp 46.520.000 ,, Available for Pre-Order 
"  Squier FSR Affinity Series Telecaster Electric Guitar, Maple FB, Lake Placid Blue  ", Rp 5.865.000 ,, Available on Request 
"  Ibanez GRGR221PA-AQB Electric Guitar, Aqua Blue  ", Rp 3.910.000 ,, Available for Pre-Order 
"  Fender Custom Shop Stevie Ray Vaughan Signature Stratocaster Relic Guitar, 3-Tone Sunburst  ", Rp 85.220.000 ,, Available for Pre-Order 
"  Squier Classic Vibe 60s Stratocaster Electric Guitar, Laurel FB, 3-Tone Sunburst  ", Rp 8.570.000 ,, Available on Request 
"  Heritage Ascent Collection H-150 Electric Guitar, White  ", Rp 4.000.000 ,, In Stock 
"  Squier Classic Vibe 60s Jazzmaster Electric Guitar, Laurel FB, Tahitian Coral  ", Rp 8.570.000 ,, In Stock 
"  Fender Chilli Beans. Lily Cyclone Electric Guitar, RW FB, Blue  ", Rp 15.100.000 ,, In Stock 
"  Sterling by Music Man MAJ200XQM John Petrucci Majesty Electric Guitar, Cerulean Paradise  ", Rp 28.135.000 , Rp 33.100.000 , In Stock 
"  Squier FSR Classic Vibe 70s Stratocaster Electric Guitar, Laurel FB, Mocha  ", Rp 9.350.000 ,, In Stock 
"  Squier by Fender Limited Edition Hello Kitty Stratocaster Electric Guitar, Maple FB, White  ", Rp 10.570.000 ,, In Stock 
"  Heritage Ascent+ Collection H-157 3-Pickup Electric Guitar, Ebony  ", Rp 12.300.000 ,, In Stock 
"  Heritage Ascent+ Collection H-150 P90 Electric Guitar, Midnight Blue  ", Rp 9.800.000 ,, In Stock 
"  Fender American Ultra Luxe Vintage 60s Custom Telecaster Electric Guitar, RW FB, 3-Color Sunburst  ", Rp 59.500.000 ,, In Stock 
"  Squier Debut Series Stratocaster Electric Guitar, Laurel FB, Surf Green  ", Rp 2.850.000 ,, In Stock 
"  Squier Debut Series Stratocaster Electric Guitar, Laurel FB, California Blue  ", Rp 2.850.000 ,, In Stock 
"  Squier Debut Series Stratocaster Electric Guitar, Laurel FB, Black (B-Stock)  ", Rp 2.371.500 , Rp 2.635.000 , In Stock 
"  Fender FSR Player Stratocaster Fat 60s Electric Guitar, Roasted PF FB, Black  ", Rp 15.860.000 , Rp 19.825.000 , In Stock 
"  Squier FSR Classic Vibe 70s Stratocaster Electric Guitar, Laurel FB, Sonic Blue  ", Rp 8.600.000 ,, In Stock 
"  Squier FSR Affinity Series Stratocaster Electric Guitar, Laurel FB, Honey Sunburst  ", Rp 6.155.000 ,, In Stock 
"  Fender FSR Collection Hybrid II Stratocaster Electric Guitar, RW FB, Inca Silver  ", Rp 21.150.000 ,, In Stock 
"  Fender Standard Stratocaster Electric Guitar w/White Pickguard, Maple FB, Candy Cola  ", Rp 11.900.000 ,, In Stock 
"  Fender Standard Stratocaster Electric Guitar, Laurel FB, Aqua Marine Metallic  ", Rp 11.900.000 ,, In Stock 
"  Squier Limited Edition Paranormal Offset Telecaster SJ Electric Guitar, Laurel FB, Ice Blue Metallic  ", Rp 9.250.000 ,, In Stock 
"  Fender Player II Stratocaster HSS Electric Guitar, RW FB, Transparent Cherry Burst  ", Rp 19.825.000 ,, In Stock 
"  Fender Player II Stratocaster HSS Electric Guitar, Maple FB, Aged Cherry Burst  ", Rp 19.825.000 ,, In Stock 
"  Fender American Ultra II Meteora Electric Guitar, Ebony FB, Ultraburst  ", Rp 46.275.000 ,, In Stock 
"  Squier FSR Affinity Series Stratocaster Electric Guitar, Laurel FB, Olympic White  ", Rp 6.155.000 ,, In Stock 
"  Heritage Ascent+ Collection H-150 Electric Guitar, Rose Burst  ", Rp 9.800.000 ,, In Stock 
"  Fender FSR Collection Hybrid II Stratocaster Electric Guitar, RW FB, Azurite Metallic  ", Rp 22.470.000 ,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Copper  ", Rp 4.000.000 ,, In Stock 
"  Heritage Ascent Collection H-137 Humbucker Electric Guitar, Vintage Cherry  ", Rp 3.200.000 ,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Matte Burgundy  ", Rp 4.000.000 ,, In Stock 
"  Fender Player II Stratocaster HSS Electric Guitar, Maple FB, Aquatone Blue  ", Rp 17.845.000 ,, In Stock 
"  Gretsch G6134TG Limited Edition Paisley Penguin Electric Guitar w/String-Thru Bigsby, Black Paisley  ", Rp 72.725.000 ,, In Stock 
"  Fender Tom DeLonge Starcaster Electric Guitar, RW FB, Olympic White  ", Rp 25.115.000 ,, In Stock 
"  Fender Tom DeLonge Starcaster Electric Guitar, RW FB, Shell Pink  ", Rp 25.115.000 ,, In Stock 
"  Fender Alternate Reality Sixty-Six Electric Guitar, Maple FB, Natural (B-Stock)  ", Rp 16.615.000 , Rp 18.460.000 , In Stock 
"  Squier FSR Sonic Stratocaster Electric Guitar w/White Pickguard, Maple FB, Tahitian Coral  ", Rp 3.950.000 ,, In Stock 
"  Fender Player Plus Telecaster Electric Guitar, Maple FB, Butterscotch Blonde  ", Rp 20.780.000 ,, In Stock 
"  Squier Sonic Mustang Electric Guitar w/White Pickguard, Maple FB, 2-Color Sunburst  ", Rp 3.950.000 ,, In Stock 
"  Squier Sonic Stratocaster Electric Guitar w/White Pickguard, Laurel FB, Ultraviolet  ", Rp 3.950.000 ,, In Stock 
"  Squier Sonic Telecaster Electric Guitar w/Black Pickguard, Laurel FB, Torino Red  ", Rp 3.950.000 ,, In Stock 
"  Fender Joe Strummer Road Worn Telecaster Electric Guitar, RW FB, Black  ", Rp 38.585.000 ,, In Stock 
"  Ibanez AR520H-BK Semi-Hollow Electric Guitar, Black  ", Rp 14.450.000 ,, In Stock 
"  Ibanez GB10SEFM-SRR Electric Guitar w/Case, Sapphire Red  ", Rp 24.900.000 ,, In Stock 
"  Fender Limited Edition Player Telecaster Electric Guitar, Pau Ferro FB, Olive  ", Rp 14.548.000 , Rp 18.185.000 , In Stock 
"  Fender Limited Edition Player Telecaster Electric Guitar, Maple FB, Burgundy Mist  ", Rp 14.548.000 , Rp 18.185.000 , In Stock 
"  Fender American Vintage II 61 Stratocaster Electric Guitar, RW FB, Olympic White  ", Rp 41.055.000 ,, Low in Stock 
"  Squier FSR Affinity Series Telecaster Electric Guitar, Maple FB, Natural  ", Rp 5.865.000 ,, In Stock 
"  Squier FSR Classic Vibe 60s Competition Mustang Guitar w/ Dakota Red Stripes, Capri Orange  ", Rp 9.720.000 ,, In Stock 
"  Charvel Henrik Danhage Ltd Ed Signature Pro-Mod So-Cal Style 1 Electric Guitar, White Relic  ", Rp 33.525.000 ,, In Stock 
"  Squier FSR Affinity Series HH Telecaster Electric Guitar, Laurel FB, Metallic Orange  ", Rp 6.350.000 ,, In Stock 
"  Fender FSR Player Stratocaster Electric Guitar, Roasted Maple FB, 2-Tone Sunburst  ", Rp 16.608.000 , Rp 20.760.000 , In Stock 
"  Fender Player Plus Telecaster Electric Guitar, Maple FB, 3-Color Sunburst  ", Rp 16.624.000 , Rp 20.780.000 , In Stock 
"  Squier Affinity Series Telecaster Electric Guitar, Maple FB, 3-Color Sunburst  ", Rp 5.175.000 ,, In Stock 
"  Fender Japan Traditional II 50s Telecaster Electric Guitar, Maple FB, Butterscotch Blonde  ", Rp 18.575.000 ,, In Stock 
"  Fender American Professional II Stratocaster Electric Guitar, RW FB, Mystic Surf Green  ", Rp 35.770.000 ,, In Stock 
"  Fender Player HSS Plus Top Stratocaster Electric Guitar, Pau Ferro FB, Tobacco Sunburst  ", Rp 14.548.000 , Rp 18.185.000 , Low in Stock 
"  Jackson JS Series Warrior JS32 Electric Guitar, Amaranth FB, Black w/White Bevels  ", Rp 8.980.000 ,, In Stock 
"  Jackson JS Series Dinky JS12 Electric Guitar, Amaranth FB, White  ", Rp 3.955.000 ,, In Stock 
"  Squier Classic Vibe 60s Stratocaster Electric Guitar, Laurel FB, Lake Placid Blue  ", Rp 8.570.000 ,, In Stock 
"  Fender Player Telecaster Electric Guitar, Maple FB, Capri Orange  ", Rp 14.076.000 , Rp 17.595.000 , In Stock 
"  Fender American Performer HSS Stratocaster Electric Guitar, Maple FB, Satin Seafoam Green  ", Rp 30.765.000 ,, In Stock 
"  Squier Sonic Stratocaster HSS Electric Guitar w/Black Pickguard, Maple FB, Black (B-Stock)  ", Rp 3.555.000 , Rp 3.950.000 , Just Sold! 
"  Squier FSR Mini Stratocaster Electric Guitar, Laurel FB, Imperial Blue  ", Rp 3.700.000 ,, Available on Request 
"  Squier FSR Mini Stratocaster Electric Guitar, Laurel FB, Surf Green  ", Rp 3.700.000 ,, Available on Request 
"  Fender American Professional Classic Stratocaster Electric Guitar, Maple FB, Faded Firemist Gold  ", Rp 32.000.000 ,, Available for Pre-Order 
"  Squier FSR Affinity Series HSS Stratocaster Electric Guitar, Laurel FB, Metallic Black  ", Rp 6.450.000 ,, Available on Request 
"  Ibanez RG470DXFM-CS Electric Guitar, Cherry Sunburst  ", Rp 9.780.000 ,, Available for Pre-Order 
"  Squier FSR Affinity Series Stratocaster HSS Electric Guitar, Laurel FB, Olympic White  ", Rp 5.865.000 ,, Available on Request 
"  Ibanez GRX40-MGR Electric Guitar, Mint Green  ", Rp 2.635.000 ,, Available for Pre-Order 
"  D'Angelico Premier DC Semi-Hollowbody Electric Guitar, Black Flake w/Stopbar Tailpiece  ", Rp 14.950.000 ,, Available on Request 
"  Ibanez RG460DX-ROM Electric Guitar, Roadster Orange Metallic  ", Rp 9.250.000 ,, Available for Pre-Order 
"  Ibanez FRM350-BK Paul Gilbert Signature Electric Guitar w/Bag, Black  ", Rp 23.150.000 ,, Available for Pre-Order 
"  Fender Japan Hybrid II Stratocaster HSH Electric Guitar, RW FB, Modena Red  ", Rp 21.150.000 ,, Available for Pre-Order 
"  Squier Affinity Series Telecaster Thinline Electric Guitar, Maple FB, 3-Color Sunburst  ", Rp 6.350.000 ,, Available on Request 
"  Squier FSR Classic Vibe 60s Stratocaster Electric Guitar, Indian Laurel FB, Olympic White  ", Rp 8.600.000 ,, Available on Request 
"  Squier Limited Edition Squier Sonic Mustang HH Electric Guitar, Maple FB, Black  ", Rp 3.950.000 ,, Available on Request 
"  Fender Japan Hybrid II Stratocaster Electric Guitar, Maple FB, Celeste Blue  ", Rp 22.470.000 ,, Available for Pre-Order 
"  Ibanez RG470DX-SFM Electric Guitar, Sea Foam Green Matte  ", Rp 9.090.000 ,, Available for Pre-Order 
"  Gretsch G2657T Streamliner Center Block Jr. Double-Cut w/Bigsby Electric Guitar, Candy Apple Red  ", Rp 11.625.000 ,, Available on Request 
"  Squier Debut Series Stratocaster Electric Guitar, Laurel FB, 2-Colour Sunburst  ", Rp 2.635.000 ,, Available on Request 
"  Fender Andy Mooney World Stamp Collection Telecaster Electric Guitar, RW FB, Indonesia, US20033882  ", Rp 198.365.000 ,, Available for Pre-Order 
"  Ibanez RG450DXB-WH Electric Guitar, White  ", Rp 9.090.000 ,, Available for Pre-Order 
"  Fender Ltd Ed Mike McCready Stratocaster Electric Guitar, RW FB, 3-Tone Sunburst  ", Rp 42.895.000 ,, Available for Pre-Order 
"  Squier FSR Sonic Stratocaster HSS Electric Guitar w/White Pickguard, Maple FB, Sonic Grey  ", Rp 3.950.000 ,, Available on Request 
"  Squier FSR Sonic Stratocaster HSS Electric Guitar w/White Pickguard, Maple FB, Arctic White  ", Rp 3.950.000 ,, Available on Request 
"  Squier Paranormal Strat-O-Sonic Electric Guitar, Laurel FB, Vintage Blonde  ", Rp 9.030.000 ,, Available on Request 
"  Squier FSR Sonic Stratocaster Electric Guitar w/White Pickguard, Maple FB, Surf Green  ", Rp 3.950.000 ,, Available on Request 
"  Squier Sonic Stratocaster HSS Electric Guitar w/Black Pickguard, Maple FB, Black  ", Rp 3.950.000 ,, Available on Request 
"  Fender Japan Traditional II 60s Telecaster Electric Guitar, RW FB, Olympic White / Blue Stripes  ", Rp 18.975.000 ,, Available for Pre-Order 
"  Squier FSR Classic Vibe 50s Telecaster Electric Guitar, Maple FB, Vintage Blonde  ", Rp 9.320.000 ,, Available on Request 
"  Ibanez SA260FM-TGB Electric Guitar, Transparent Gray Burst  ", Rp 5.635.000 ,, Available for Pre-Order 
"  Ibanez GRG121DX-BKF Electric Guitar, Black Night  ", Rp 3.510.000 ,, Available for Pre-Order 
"  Ibanez RG421-MOL Electric Guitar, Mahogany Oil  ", Rp 5.635.000 ,, Available for Pre-Order 
"  Ibanez Gio GRX70QA-TRB Electric Guitar, Transparent Red Burst  ", Rp 3.105.000 ,, Available for Pre-Order 
"  Ibanez Gio GRX70QA-TKS Electric Guitar, Transparent Black Sunburst  ", Rp 3.105.000 ,, Available for Pre-Order 
"  Charvel MJ DK24 HSH 2PT Mahogany w/ Figured Walnut Electric Guitar, Streaky Ebony FB, Natural  ", Rp 35.655.000 ,, Available on Request 
"  Ibanez GRGR131EX-BKF Electric Guitar, Black Flat  ", Rp 3.210.000 ,, Available for Pre-Order 
"  Squier Affinity Series Telecaster Electric Guitar, Laurel FB, Lake Placid Blue  ", Rp 5.175.000 ,, Available on Request 
"  Ibanez JEMJR-WH Steve Vai Signature Electric Guitar, White  ", Rp 8.110.000 ,, Available for Pre-Order 
"  Jackson JS Series Dinky Arch Top JS32Q DKA Electric Guitar, Amaranth FB, Trans Green Burst  ", Rp 8.455.000 ,, Available on Request 
"  EVH Striped Series 5150 Electric Guitar, Maple FB, Red Black White Stripes  ", Rp 32.665.000 ,, Available on Request 
"  Squier Classic Vibe 60s Jazzmaster Electric Guitar, Laurel FB, 3-Tone Sunburst  ", Rp 8.570.000 ,, Available on Request 
"  Congress CST100 MP HT Electric Guitar, Fiesta Red  ", Rp 1.999.000 ,, In Stock 
"  Congress CST150 LR SSS Electric Guitar, Sonic Blue  ", Rp 2.099.000 ,, In Stock 
"  Congress CTE100 MP Electric Guitar, Blonde  ", Rp 2.099.000 ,, In Stock 
"  Congress CST150 LR HSS Electric Guitar, Fiesta Red  ", Rp 2.099.000 ,, In Stock 
"  Heritage Ascent+ Collection H-535 Electric Guitar, Sunburst  ", Rp 9.800.000 ,, In Stock 
"  Heritage Ascent+ Collection H-535 Electric Guitar, Scarlet Red Burst  ", Rp 9.800.000 ,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Matte Charcoal  ", Rp 4.000.000 ,, In Stock 
"  Heritage Standard H-535 Semi-Hollow Electric Guitar with Case, Original Sunburst  ", Rp 46.250.000 ,, In Stock 
"  Heritage Ascent Collection H-150 Electric Guitar, Sunburst  ", Rp 4.000.000 ,, In Stock 
"  Harmony Standard Series Jupiter Electric Guitar w/Case, RW FB, Space Black  ", Rp 23.000.000 ,, In Stock 
"  Heritage Standard H-535 Semi-Hollow Electric Guitar with Case, Trans Cherry  ", Rp 46.250.000 ,, In Stock 
